"","motivation.prob.","motivation.welfare.","benefitForNonAcademy","impulseForNonAcad.soc.","impulseForNonAcad.econ.","impulseForNonAcad.ecol.","impulseForNonAcad.health.","impulseForNonAcad.tech.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","natureOfInvolvement.res.","natureOfInvolvement.busi.","natureOfInvolvement.civsoc.","natureOfInvolvement.policy.","natureOfInvolvement.citiz.","natureOfInvolvement.media.","natureOfInvolvement.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts3","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","kindOfChange.pub.","kindOfChange.busi.","kindOfChange.socgr.","kindOfChange.welfare.","kindOfChange.civsoc.","kindOfChange.policy.","adoptByPolicy.rate.","adoptByPolicyHow.SQ001.","adoptByPolicyHow.SQ002.","adoptByPolicyHow.SQ003.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out."
"Impactstatements.mitig.",0.14,0.41,0.37,0.36,0.2,0.01,0.02,-0.09,0.15,0.35,0.39,0.39,0.26,0.24,0.16,0.15,0.25,0.21,0.38,0.1,0.31,0.49,0.37,0.28,0.45,0.33,0.42,0.43,0.25,0.47,0.31,0.44,0.49,0.37,0.22,0.4,0.27,0.37,0.45,0.51,0.35,0.25,0.08,0.52,0.54,0.6,1,0.43,0.24,0.01,0.13,0.07,0.29,0.21,0.25,0.02,0.21,0.05,0.13,0.33,0.13,0.39,0.45
"Impactstatements.unknown.",0.14,0.26,0.28,0.35,0.09,0.09,-0.08,-0.01,0.12,0.27,0.36,0.31,0.19,0.19,0.15,0.16,0.18,0.26,0.27,0.1,0.2,0.31,0.33,0.14,0.36,0.34,0.32,0.34,0.17,0.36,0.3,0.27,0.43,0.2,0.15,0.28,0.29,0.21,0.4,0.39,0.2,0.19,0.06,0.39,0.42,0.51,0.43,1,0.49,-0.04,0.28,0.01,0.2,0.14,0.32,0.03,0.12,0.04,0.14,0.23,0.11,0.24,0.35
"Impactstatements.unaddressed.",0.18,0.15,0.17,0.14,0.05,0.09,-0.07,0.07,0.05,0.12,0.19,0.21,0.11,0.12,0.2,0.1,0.1,0.13,0.16,0.03,0.17,0.14,0.21,0.08,0.22,0.22,0.21,0.28,0.18,0.23,0.26,0.17,0.27,0.07,0.13,0.17,0.2,0.06,0.21,0.26,0.13,0.06,0.02,0.3,0.28,0.31,0.24,0.49,1,0.02,0.12,-0.02,0.14,0.12,0.11,-0.02,0.06,0.05,0.07,0.13,0.1,0.18,0.23
"dissChannels.peer.",0.02,0.05,0,-0.08,0.02,0.06,0.1,0.04,0.01,-0.1,-0.02,-0.01,0.03,-0.02,0.05,-0.03,-0.07,-0.01,0,0.01,0.03,0.01,-0.03,0.08,0.04,0.01,-0.04,0.12,0.07,0.03,0.05,-0.04,0.02,0.1,0.02,0,-0.01,-0.06,-0.05,-0.02,0.02,-0.05,0.04,-0.02,-0.05,-0.08,0.01,-0.04,0.02,1,-0.04,0.26,0.02,0.11,0.08,0.07,0.03,-0.02,-0.02,0.03,0.06,0.04,0.01
"dissChannels.mono.",-0.09,-0.01,0.07,0.18,-0.03,0.06,-0.13,-0.07,-0.04,0.2,0.22,0.24,0.28,0.11,0.08,-0.07,0.1,0.2,0.14,0.13,0.08,0.12,0.19,0.01,0.17,0.23,0.2,0.16,-0.05,0.17,0.19,0.14,0.2,0.12,0.06,0.11,0.15,0.13,0.19,0.23,0.15,0.13,0.04,0.18,0.27,0.25,0.13,0.28,0.12,-0.04,1,0.1,0.04,0.17,0.27,0.08,0.03,-0.08,0.07,0.19,0.19,0.05,0.09
"dissChannels.conf.",0.02,0.06,0.06,0,-0.01,0.01,0.03,0.08,0.02,0,0,0.18,0.07,0.12,0.12,0.01,0.05,0.08,0.11,0.06,0.09,0.15,0.06,0.1,0.09,0.06,0.04,0.06,0.01,0.01,0.04,0.05,0.04,0.09,0.01,-0.01,0.02,0.03,0.01,0.06,0.02,0.05,0.02,0.06,0.11,0,0.07,0.01,-0.02,0.26,0.1,1,0.03,0.04,0.12,0.08,-0.06,-0.08,0.02,0.09,0.05,0.12,0.09
"dissChannels.policy.",0.06,0.11,0.2,0.15,0.19,-0.02,-0.05,-0.03,0.14,0.19,0.43,0.17,0.25,0.19,0.07,0.14,0.11,0.22,0.18,0.11,0.15,0.19,0.19,0.16,0.27,0.21,0.29,0.17,0.11,0.18,0.15,0.2,0.4,0.08,0.07,0.15,0.19,0.26,0.43,0.39,0.15,0.12,0.2,0.21,0.22,0.25,0.29,0.2,0.14,0.02,0.04,0.03,1,0.17,0.16,0,0.07,0.02,0.14,0.22,0.06,0.25,0.27
"dissChannels.trad.",0.01,0.08,0.2,0.09,0.1,0.13,-0.01,0.03,0.11,0.08,0.17,0.13,0.43,0.1,0.2,0.12,0.01,0.1,0.1,0.19,0.11,0.08,0.14,0.16,0.23,0.24,0.07,0.24,0.08,0.19,0.17,0.2,0.2,0.13,0.1,0.15,0.15,0.23,0.26,0.26,0.1,0.11,0.12,0.17,0.19,0.12,0.21,0.14,0.12,0.11,0.17,0.04,0.17,1,0.27,0.18,0.28,0.12,0.21,0.26,0.28,0.13,0.2
"dissChannels.prof.",0.15,0.17,0.29,0.2,0.15,-0.02,-0.02,-0.02,0.19,0.12,0.23,0.25,0.34,0.24,0.19,0.14,0.04,0.16,0.16,0.19,0.27,0.21,0.25,0.16,0.29,0.26,0.22,0.31,0.14,0.3,0.32,0.19,0.28,0.17,0.02,0.17,0.29,0.15,0.24,0.34,0.21,0.19,0.12,0.23,0.34,0.2,0.25,0.32,0.11,0.08,0.27,0.12,0.16,0.27,1,0.14,0.1,0.05,0.25,0.35,0.2,0.26,0.26
"dissChannels.web.",0,0.06,0.11,-0.09,-0.01,0.07,0.05,0.06,0.08,0.01,0.06,0.1,0.18,0.09,0.12,0.04,0.03,0.04,0.04,0.06,0.04,0,0.08,0.11,0.03,0.08,0.07,0.19,0.08,0.1,0.1,0.05,0.03,0.05,0.03,0.04,0.07,0.03,-0.04,0.05,0,0.03,0,-0.02,0.02,-0.07,0.02,0.03,-0.02,0.07,0.08,0.08,0,0.18,0.14,1,0.23,0.24,0.13,0.07,0.21,0.11,0.12
"dissChannels.socmed.",0.1,0.17,0.16,-0.02,0.06,0.02,0.06,0.08,0.15,0.06,0.09,0.16,0.19,0.01,0.1,0.16,0.03,0.02,0.14,0.12,0.03,0.02,0.06,0.14,0.16,0.15,0.09,0.24,0.22,0.15,0.14,0.1,0.11,0.04,0.16,0.15,0.09,0.06,0.09,0.17,0.06,0.08,0.07,0.08,0.14,0.09,0.21,0.12,0.06,0.03,0.03,-0.06,0.07,0.28,0.1,0.23,1,0.2,0.13,0.1,0.2,0.15,0.08
"dissChannels.platf.",-0.05,0.01,0.02,-0.09,0.04,0.09,0.01,0.04,0.07,0,-0.02,0.04,0.04,-0.03,0.02,0.11,0.01,-0.05,0.09,-0.01,0.05,0.01,0.04,-0.03,0.05,0.08,0,0.12,0.16,0.12,0,0.04,0.03,0.04,0.09,0.12,0.05,0.03,-0.02,0.05,0.07,0.07,0.01,0.02,-0.01,-0.1,0.05,0.04,0.05,-0.02,-0.08,-0.08,0.02,0.12,0.05,0.24,0.2,1,0.12,0.03,0.13,0.07,0.13
"dissChannels.consult.",0.1,0.13,0.23,0.11,0.06,0.08,0,-0.01,0.2,0.15,0.15,0.17,0.16,0.1,0.17,0.19,0.04,0.1,0.1,0.06,0.12,0.11,0.18,0.15,0.21,0.25,0.1,0.2,0.17,0.21,0.11,0.22,0.19,0.12,0.14,0.17,0.09,0.2,0.18,0.16,0.15,0.12,0.16,0.28,0.2,0.07,0.13,0.14,0.07,-0.02,0.07,0.02,0.14,0.21,0.25,0.13,0.13,0.12,1,0.33,0.21,0.2,0.32
"dissChannels.events.",0.19,0.27,0.38,0.25,0.11,0,0,-0.07,0.16,0.33,0.33,0.32,0.19,0.35,0.17,0.13,0.19,0.18,0.24,0.01,0.26,0.38,0.39,0.3,0.44,0.37,0.3,0.3,0.14,0.44,0.32,0.31,0.37,0.25,0.15,0.31,0.26,0.24,0.3,0.4,0.29,0.28,0.13,0.38,0.41,0.28,0.33,0.23,0.13,0.03,0.19,0.09,0.22,0.26,0.35,0.07,0.1,0.03,0.33,1,0.37,0.19,0.29
"dissChannels.public.",0.01,0.09,0.18,0.03,0,0.03,0.07,0.07,0.09,0.03,0.06,0.18,0.2,0.13,0.06,0.07,0.02,0.1,0.13,0.05,0.08,0.05,0.13,0.12,0.15,0.13,0.06,0.27,0.11,0.16,0.22,0.1,0.06,0.2,0.09,0.19,0.1,0.13,0.1,0.17,0.13,0.11,0.06,0.15,0.15,0.05,0.13,0.11,0.1,0.06,0.19,0.05,0.06,0.28,0.2,0.21,0.2,0.13,0.21,0.37,1,0.12,0.12
"scalabilityRating.up.",0.18,0.4,0.45,0.11,0.14,0.08,0.08,0.09,0.28,0.12,0.24,0.22,0.22,0.18,0.22,0.26,0.11,0.09,0.16,0.09,0.18,0.29,0.23,0.39,0.32,0.27,0.36,0.55,0.48,0.27,0.33,0.29,0.42,0.28,0.26,0.23,0.21,0.24,0.32,0.38,0.25,0.15,0.15,0.45,0.33,0.28,0.39,0.24,0.18,0.04,0.05,0.12,0.25,0.13,0.26,0.11,0.15,0.07,0.2,0.19,0.12,1,0.66
"scalabilityRating.out.",0.1,0.35,0.42,0.24,0.15,0.17,0.07,-0.06,0.26,0.19,0.32,0.3,0.21,0.15,0.23,0.27,0.21,0.17,0.2,0.07,0.2,0.36,0.31,0.33,0.41,0.37,0.42,0.52,0.33,0.33,0.31,0.4,0.53,0.35,0.21,0.28,0.28,0.32,0.46,0.42,0.29,0.18,0.15,0.47,0.37,0.35,0.45,0.35,0.23,0.01,0.09,0.09,0.27,0.2,0.26,0.12,0.08,0.13,0.32,0.29,0.12,0.66,1
